Draw,"Atlanta, GA","Chicago, IL","Dallas-Ft. Worth, TX","Houston, TX","Los Angeles, CA","Miami-Ft. Lauderdale, FL","New York, NY","Philadelphia, PA",Puerto Rico
88,-262969.4574892679,352732.09377384174,-538220.5479730571,69551.7772975436,1442377.8239327434,24986.90695648617,3063229.3377567343,-1093263.3271302807,758758.0742052437
89,-415449.2957645308,-740598.1711177056,-93513.4965038097,-1280781.961972968,1630996.526427534,-59343.53910219157,2092082.3116452426,-1018152.4972603926,-39615.45680296165
90,329282.32365512964,72534.21643468423,-208254.45254588802,-909127.2777657602,1282503.284082149,620485.654310371,-295231.76673151273,-861860.9890430485,326098.3133850985
91,-631888.3722369336,-765669.7834443271,-84509.05678640713,344414.17494769464,735202.9955641716,66607.32682057621,694737.2312644981,-321492.73785097606,388996.24627634464
92,217960.64234419167,-556915.0551347653,-198146.6645345335,-579169.093396065,773598.1803925436,80870.723104537,1523476.7319245546,-690897.5870785409,757638.9395741409
93,114648.98259749217,-521323.9122422483,90893.74337223044,-724550.9539547435,653730.937168574,331501.16339026135,1396916.3482907908,-876422.4975865881,666956.0727993855
94,-386809.1185533175,-318085.01782260626,-209438.19624107913,-644998.4909474289,1331158.1540119445,189638.55825662217,691062.4005945255,-768712.4160572721,391516.4977344277
95,352031.2378852935,-652549.2745954251,-116894.68612426112,103775.91766948649,277457.3902558943,124319.0353961474,835882.1472450378,-753132.9762599276,159356.87366385036
96,-82725.18435558322,-649535.3554369771,79877.11337800429,-92441.87950269086,1353648.5341941938,414612.3628345239,504140.3104361226,-819386.0773106656,187126.38071463
97,137179.81196907582,-1475653.5581749892,-235200.2525944562,-1366802.888366878,449406.46140943887,39535.92042069859,2786350.806485578,-847940.6925884925,388517.2433939569
98,228941.66819448012,-39375.465523297666,-86449.17474376841,-1645823.0639420724,339412.2339644565,504833.83087897813,1573712.2686631046,-354479.2119280631,77288.54119151877
99,117450.9112734946,-1191075.815713866,-63584.047206599964,-512016.83228898945,520187.04522002465,383708.93482510257,1810806.7006198736,-403965.50831384014,345843.5328022933
100,-174385.0937984693,371717.34819187364,226776.21650657803,-376882.67643609794,318352.48166315514,265487.31775717787,2782592.767051532,-828986.5758182553,200897.33676310768
