All_DMA_Opportunity_Rank,DMA,Spend_Partial_R2,Spend_Beta,Spend_P_Value,Spend_Explanatory_Strength,Spend_Statistical_Evidence,Spend_Estimate_Stability,Influence_Severity,Responsiveness_Score,Regression_Confidence_Score,Market_Scale_Score,All_DMA_Opportunity_Score,All_DMA_Opportunity_Tier,All_DMA_Strategic_Action,Recent_Average_Spend,Recent_Average_Traffic,Store_Count,All_DMA_Spend_Test_Range,All_DMA_Recommended_Incremental_Spend_Lower,All_DMA_Recommended_Incremental_Spend_Upper
12,"Columbus, OH",0.2658283439310636,0.0325970539188698,0.0107876492280687,Moderate,Strong,Stable,Low,53.16566878621272,100.0,5.147058823529411,55.21131565967808,Moderate,Explore Incremental Test,0.0,122155.33333333333,5,+5% to +10%,0.0,0.0
13,"Washington, DC (Hagerstown, MD)",0.2033712653148713,0.0240467602055348,0.1540659018046726,Moderate,Weak,Influence Sensitive,Moderate,40.67425306297426,58.333333333333336,76.47058823529412,54.92106093716195,Low,Maintain / Monitor,167666.66666666666,789768.3333333334,26,+0% to +5%,0.0,8383.333333333334
14,"Phoenix (Prescott), AZ",0.2376400476975643,0.0241694450574829,0.1666150825255505,Moderate,Weak,Influence Sensitive,Moderate,47.52800953951286,58.333333333333336,61.76470588235294,54.328780763369025,Low,Maintain / Monitor,0.0,492880.6666666667,23,+0% to +5%,0.0,0.0
15,"Orlando-Daytona Beach-Melbourne, FL",0.3064674987974506,0.0253033588736625,0.2637800925058901,Strong,Weak,Highly Unstable,High,61.293499759490125,26.666666666666668,69.85294117647058,53.045310185888205,Low,Maintain / Monitor,0.0,659168.3333333334,25,+0% to +5%,0.0,0.0
16,"Oklahoma City, OK",0.3170228140453234,0.036491158684025,0.0797126218020296,Strong,Suggestive,Influence Sensitive,Moderate,63.40456280906468,66.66666666666667,13.970588235294118,52.02470032290264,Low,Maintain / Monitor,0.0,153278.66666666666,10,+0% to +5%,0.0,0.0
17,"Cleveland-Akron (Canton), OH",0.2687997878176498,0.0284618675182465,0.0804438581783433,Moderate,Suggestive,Influence Sensitive,Moderate,53.75995756352996,66.66666666666667,25.735294117647058,50.625804433000255,Low,Maintain / Monitor,0.0,205620.0,13,+0% to +5%,0.0,0.0
18,"Los Angeles, CA",0.1997117574723399,0.0272388727743037,0.7238913669016476,Moderate,Weak,Highly Unstable,High,39.94235149446798,26.666666666666668,97.05882352941177,50.23876405486354,Low,Maintain / Monitor,520666.6666666667,1648636.3333333333,65,+0% to +5%,0.0,26033.333333333336
19,"Chicago, IL",0.1260418011733027,0.0276287922599905,0.2597049202297062,Low,Weak,Influence Sensitive,Moderate,25.20836023466054,50.0,91.17647058823529,49.13787975265606,Low,Maintain / Monitor,292333.3333333333,1126261.6666666667,47,+0% to +5%,0.0,14616.666666666666
20,"Philadelphia, PA",0.2257458914950442,0.0313163175041087,0.6466284516083058,Moderate,Weak,Highly Unstable,High,45.14917829900884,26.666666666666668,82.35294117647058,48.905365528671624,Low,Maintain / Monitor,177333.33333333334,774429.0,42,+0% to +5%,0.0,8866.666666666668
21,"Atlanta, GA",0.2364319086563598,0.0318522909020753,0.6460371105071581,Moderate,Weak,Highly Unstable,High,47.28638173127196,26.666666666666668,77.20588235294119,48.58034236730768,Low,Maintain / Monitor,184000.0,673035.6666666666,33,+0% to +5%,0.0,9200.0
22,"Charlotte, NC",0.240357399408617,0.0270869482178136,0.2496332543634101,Moderate,Weak,Influence Sensitive,Moderate,48.0714798817234,50.0,47.05882352941176,48.39687182912847,Low,Maintain / Monitor,0.0,356895.6666666667,15,+0% to +5%,0.0,0.0
23,"Cincinnati, OH",0.2456741327273328,0.0261479041378864,0.0496309442472971,Moderate,Strong,Influence Sensitive,Moderate,49.13482654546656,75.0,11.02941176470588,47.36802488663643,Low,Maintain / Monitor,0.0,161416.66666666666,9,+0% to +5%,0.0,0.0
24,"Sacramento-Stockton-Modesto, CA",0.2003885142104958,0.0205896091513741,0.2316016085151638,Moderate,Weak,Influence Sensitive,Moderate,40.077702842099164,50.0,54.411764705882355,46.63790745541521,Low,Maintain / Monitor,0.0,406839.0,18,+0% to +5%,0.0,0.0
25,"San Diego, CA",0.2632509479862599,0.0236696501991699,0.1894775721606952,Moderate,Weak,Influence Sensitive,Moderate,52.65018959725198,58.333333333333336,18.38235294117647,45.78817355405751,Low,Maintain / Monitor,0.0,251623.33333333334,10,+0% to +5%,0.0,0.0
26,"Houston, TX",0.1706168762393,0.0294847754775273,0.8593961445762412,Moderate,Weak,Highly Unstable,High,34.12337524786,26.666666666666668,88.23529411764706,45.41434239094876,Low,Maintain / Monitor,208000.0,1011360.3333333334,46,+0% to +5%,0.0,10400.0
27,"Miami-Ft. Lauderdale, FL",0.144778951205333,0.0234203763993324,0.6640335602997489,Low,Weak,Highly Unstable,High,28.955790241066598,26.666666666666668,88.23529411764706,43.08892913789174,Low,Maintain / Monitor,183333.33333333334,1295907.3333333333,40,+0% to +5%,0.0,9166.666666666668
28,"Detroit, MI",0.1560028029673109,0.0161398262018381,0.2065888927295829,Moderate,Weak,Influence Sensitive,Moderate,31.20056059346218,50.0,54.411764705882355,42.64319344352857,Low,Maintain / Monitor,0.0,378148.0,21,+0% to +5%,0.0,0.0
29,"Providence, RI-New Bedford, MA",0.1266003985960483,0.0147912829055191,0.225363544516153,Low,Weak,Stable,Low,25.32007971920966,75.0,34.55882352941177,42.53374175599729,Low,Maintain / Monitor,0.0,304400.6666666667,13,+0% to +5%,0.0,0.0
30,"Buffalo, NY",0.2035144335346414,0.0182607279381028,0.0664911491039958,Moderate,Suggestive,Influence Sensitive,Moderate,40.70288670692828,66.66666666666667,3.6764705882352944,39.23541666517656,Minimal,Low Priority,0.0,55832.333333333336,5,Hold,0.0,0.0
31,"Dallas-Ft. Worth, TX",0.100350243261127,0.0224513543118135,0.6990046574367152,Low,Weak,Highly Unstable,High,20.0700486522254,26.666666666666668,81.61764705882354,37.43593365820731,Minimal,Low Priority,236000.0,953954.3333333334,33,Hold,0.0,0.0
32,Puerto Rico,0.0035614111305588,-0.0025025239612816,0.8774226976069048,Minimal,Weak,Influence Sensitive,Moderate,0.14245644522235199,50.0,85.29411764705881,36.38763481211476,Minimal,Low Priority,83666.66666666667,1471246.0,30,Hold,0.0,0.0
33,"Hartford & New Haven, CT",0.0944290276682011,0.0179431671878507,0.3600633143304071,Low,Weak,Influence Sensitive,Moderate,18.88580553364022,50.0,38.23529411764706,33.05743601954987,Minimal,Low Priority,0.0,283851.6666666667,16,Hold,0.0,0.0
34,"Minneapolis-St. Paul, MN",0.019408495725895,0.0064283077978151,0.732700980317387,Minimal,Weak,Influence Sensitive,Moderate,3.881699145179,50.0,33.088235294117645,25.01882343885996,Minimal,Low Priority,0.0,330536.0,12,Hold,0.0,0.0
