DMA,DMA_Key,Spend_Partial_R2,Spend_Beta,Spend_P_Value,Spend_Explanatory_Strength,Spend_Direction,Spend_Statistical_Evidence,Spend_Estimate_Stability,Influence_Severity,Spend_Relationship_Classification,Latest_Month,Latest_Spend,Recent_Average_Spend,Historical_Average_Spend,Total_Observed_Spend,Recent_Average_Traffic,Store_Count,Recent_Spend_Per_Store,Responsiveness_Score,Regression_Confidence_Score,Store_Count_Score,Traffic_Scale_Score,Market_Scale_Score,All_DMA_Opportunity_Score,All_DMA_Opportunity_Tier,All_DMA_Strategic_Action,All_DMA_Opportunity_Rank,All_DMA_Spend_Change_Lower,All_DMA_Spend_Change_Upper,All_DMA_Recommended_Incremental_Spend_Lower,All_DMA_Recommended_Incremental_Spend_Upper,All_DMA_Recommended_Total_Spend_Lower,All_DMA_Recommended_Total_Spend_Upper,BSTS_Relative_Lift,BSTS_Probability_Positive,Implied_Incremental_Comp,Performance_Score,Opportunity_Score,Evidence_Alignment,Opportunity_Tier,Strategic_Action,BSTS_Evidence_Available
"Atlanta, GA",Atlanta,0.2364319086563598,0.0318522909020753,0.6460371105071581,Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate,2026-07-01,266000,184000.0,122388.88888888889,2203000,673035.6666666666,33,5575.757575757576,47.28638173127196,26.666666666666668,80.88235294117648,73.52941176470588,77.20588235294119,48.58034236730768,Low,Maintain / Monitor,21,0.0,0.05,0.0,9200.0,184000.0,193200.0,-0.0360810884215403,0.270125,-0.0384594101314914,28.89139746712715,35.78927125951973,Attribution Conflict,Diagnostic,Hold & Diagnose,True
"Charlotte, NC",Charlotte,0.240357399408617,0.0270869482178136,0.2496332543634101,Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence,2026-07-01,0,0.0,17722.222222222223,319000,356895.6666666667,15,0.0,48.0714798817234,50.0,47.05882352941176,47.05882352941176,47.05882352941176,48.39687182912847,Low,Maintain / Monitor,22,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"Cincinnati, OH",Cincinnati,0.2456741327273328,0.0261479041378864,0.0496309442472971,Moderate,Positive,Strong,Influence Sensitive,Moderate,Moderate Positive Spend Relationship,2026-07-01,0,0.0,24111.11111111111,434000,161416.66666666666,9,0.0,49.13482654546656,75.0,10.294117647058822,11.76470588235294,11.02941176470588,47.36802488663643,Low,Maintain / Monitor,23,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"Sacramento-Stockton-Modesto, CA",Sacramento,0.2003885142104958,0.0205896091513741,0.2316016085151638,Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence,2026-07-01,0,0.0,29555.555555555555,532000,406839.0,18,0.0,40.077702842099164,50.0,55.88235294117647,52.94117647058824,54.411764705882355,46.63790745541521,Low,Maintain / Monitor,24,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"San Diego, CA",San Diego,0.2632509479862599,0.0236696501991699,0.1894775721606952,Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence,2026-07-01,0,0.0,22944.444444444445,413000,251623.33333333334,10,0.0,52.65018959725198,58.333333333333336,19.11764705882353,17.647058823529413,18.38235294117647,45.78817355405751,Low,Maintain / Monitor,25,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"Houston, TX",Houston,0.1706168762393,0.0294847754775273,0.8593961445762412,Moderate,Positive,Weak,Highly Unstable,High,Moderate Apparent Association / Highly Unstable Estimate,2026-07-01,259000,208000.0,167000.0,3006000,1011360.3333333334,46,4521.739130434783,34.12337524786,26.666666666666668,91.17647058823529,85.29411764705883,88.23529411764706,45.41434239094876,Low,Maintain / Monitor,26,0.0,0.05,0.0,10400.0,208000.0,218400.0,-0.0699111916392851,0.12125,-0.0718545713947376,13.098857151315602,33.838544719752676,Attribution Conflict,Diagnostic,Hold & Diagnose,True
"Miami-Ft. Lauderdale, FL",Miami,0.144778951205333,0.0234203763993324,0.6640335602997489,Low,Positive,Weak,Highly Unstable,High,Low Apparent Association / Highly Unstable Estimate,2026-07-01,224000,183333.33333333334,179944.44444444444,3239000,1295907.3333333333,40,4583.333333333334,28.955790241066598,26.666666666666668,85.29411764705883,91.17647058823529,88.23529411764706,43.08892913789174,Low,Maintain / Monitor,27,0.0,0.05,0.0,9166.666666666668,183333.33333333334,192500.0,0.0642643079803688,0.8345,0.0583729727974348,81.3182431993587,52.20096003212759,Convergent Positive,Low,Maintain / Optimize,True
"Detroit, MI",Detroit,0.1560028029673109,0.0161398262018381,0.2065888927295829,Moderate,Positive,Weak,Influence Sensitive,Moderate,Moderate Apparent Association / Weak Statistical Evidence,2026-07-01,0,0.0,46722.22222222222,841000,378148.0,21,0.0,31.20056059346218,50.0,58.82352941176471,50.0,54.411764705882355,42.64319344352857,Low,Maintain / Monitor,28,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"Providence, RI-New Bedford, MA",Providence,0.1266003985960483,0.0147912829055191,0.225363544516153,Low,Positive,Weak,Stable,Low,Low Apparent Association / Weak Statistical Evidence,2026-07-01,0,0.0,6388.888888888889,115000,304400.6666666667,13,0.0,25.32007971920966,75.0,36.76470588235294,32.35294117647059,34.55882352941177,42.53374175599729,Low,Maintain / Monitor,29,0.0,0.05,0.0,0.0,0.0,0.0,,,,,,,,,False
"Buffalo, NY",Buffalo,0.2035144335346414,0.0182607279381028,0.0664911491039958,Moderate,Positive,Suggestive,Influence Sensitive,Moderate,Moderate Positive Spend Relationship / Suggestive Evidence,2026-07-01,0,0.0,9833.333333333334,177000,55832.333333333336,5,0.0,40.70288670692828,66.66666666666667,4.411764705882353,2.941176470588235,3.6764705882352944,39.23541666517656,Minimal,Low Priority,30,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,False
"Dallas-Ft. Worth, TX",Dallas,0.100350243261127,0.0224513543118135,0.6990046574367152,Low,Positive,Weak,Highly Unstable,High,Low Apparent Association / Highly Unstable Estimate,2026-07-01,308000,236000.0,194000.0,3492000,953954.3333333334,33,7151.515151515152,20.0700486522254,26.666666666666668,80.88235294117648,82.35294117647058,81.61764705882354,37.43593365820731,Minimal,Low Priority,31,0.0,0.0,0.0,0.0,236000.0,236000.0,0.0083268476520127,0.533,0.0082444969886048,53.711124247151204,32.54685186981298,Convergent Positive,Low,Hold & Diagnose,True
