DMA,Placebo_Date,Actual_Intervention_Date,Pre_Treatment_Months,Placebo_Post_Months,Selected_Controls,Incremental_Traffic_Mean,Incremental_Traffic_Median,Impact_Lower_95,Impact_Upper_95,Probability_Positive,Probability_Negative,Relative_Lift_Median,Counterfactual_Valid,Model_Divergences,Model_Divergence_Rate
Puerto Rico,2025-09-01,2026-01-01,7,4,1,554382.6090939692,549980.0938484215,-176235.70413176256,1280686.5904525495,0.9275,0.0725,0.10409905919374268,True,0,0.0
"San Antonio, TX",2025-09-01,2026-01-01,7,4,1,-55714.083894224736,-58237.50981082863,-293176.18419485656,186079.73877380727,0.3085,0.6915,-0.031632708878152206,True,0,0.0
"Washington, DC (Hagerstown, MD)",2025-09-01,2026-01-01,7,4,1,324510.98940655444,324326.72370161174,-48661.02718526219,698572.1360318824,0.95425,0.04575,0.14769351488902402,True,0,0.0
"Baltimore, MD",2025-10-01,2026-01-01,8,3,1,57689.53807180607,57396.730870220985,-92655.91029390764,205159.32666061845,0.781,0.219,0.052568944712786,True,0,0.0
"Boston, MA (Manchester, NH)",2025-10-01,2026-01-01,8,3,1,123985.67797691173,130090.27145648238,-68408.70251280298,288425.23585138837,0.9095,0.0905,0.0765354079974737,True,0,0.0
"Buffalo, NY",2025-10-01,2026-01-01,8,3,1,-82230.53363223976,-82226.72115703706,-134912.0842999381,-32059.254482654145,0.001,0.999,-0.3542640853950429,True,0,0.0
"Cincinnati, OH",2025-10-01,2026-01-01,8,3,1,-31440.33520446844,-29724.24371558048,-108275.59664645439,40302.934375376,0.18825,0.81175,-0.0492162966421474,True,0,0.0
"Columbus, OH",2025-10-01,2026-01-01,8,3,1,-167359.53805209574,-168232.59613108967,-269908.9891628669,-61460.88065681637,0.00225,0.99775,-0.29673289683815174,True,0,0.0
"El Paso, TX (Las Cruces, NM)",2025-10-01,2026-01-01,8,3,1,129885.92578560037,128403.45712519714,52757.25679349052,213174.12448140234,0.99925,0.00075,0.11990354934578405,True,0,0.0
"Harlingen-Weslaco-Brownsville-McAllen, TX",2025-10-01,2026-01-01,8,3,1,-105219.69222634776,-107038.22474355533,-253615.9538158539,49559.59303264606,0.08075,0.91925,-0.07285426070357379,True,0,0.0
"Hartford & New Haven, CT",2025-10-01,2026-01-01,8,3,1,-7629.986683895154,-8153.3028293023235,-153450.88495678653,138244.77293918678,0.45225,0.54775,-0.00897869236567268,True,0,0.0
"Houston, TX",2025-10-01,2026-01-01,8,3,1,50027.60906892863,49985.36889559543,-296410.0418515766,398259.7403514743,0.61325,0.38675,0.015093050071461332,True,0,0.0
"Miami-Ft. Lauderdale, FL",2025-10-01,2026-01-01,8,3,1,182664.62410346957,184463.1956809722,-140257.92576591644,522500.95965588646,0.869,0.131,0.0504063936130889,True,0,0.0
"Oklahoma City, OK",2025-10-01,2026-01-01,8,3,1,240286.14984603092,240455.73125688374,155734.06336911998,322219.66975321196,1.0,0.0,0.5292007465891203,True,0,0.0
"Orlando-Daytona Beach-Melbourne, FL",2025-10-01,2026-01-01,8,3,1,295429.86943913123,302336.46106111625,-41115.49543831545,604186.8601576488,0.961,0.039,0.14108472649538592,True,0,0.0
"Philadelphia, PA",2025-10-01,2026-01-01,8,3,1,175534.7229077266,176598.6834220817,-35596.81839277124,378138.01121405786,0.954,0.046,0.07315094092730393,True,0,0.0
"Phoenix (Prescott), AZ",2025-10-01,2026-01-01,8,3,1,50904.86548999026,52556.40193263441,-232491.77169961933,340661.0989089999,0.6295,0.3705,0.039133771015344425,True,0,0.0
"Providence, RI-New Bedford, MA",2025-10-01,2026-01-01,8,3,1,-18186.11177809582,-18697.859742023444,-107567.30755999088,76114.6795365385,0.3395,0.6605,-0.023933968242878016,True,0,0.0
"Sacramento-Stockton-Modesto, CA",2025-10-01,2026-01-01,8,3,1,-77921.83232533807,-76974.58565543033,-219061.2649848549,57506.136592093215,0.11875,0.88125,-0.057751112325832146,True,0,0.0
"San Diego, CA",2025-10-01,2026-01-01,8,3,1,-6739.908435554989,-7367.870542181554,-100835.4382855194,84480.9490164674,0.43275,0.56725,-0.008251351993247266,True,0,0.0
"Tampa-St. Petersburg (Sarasota), FL",2025-10-01,2026-01-01,8,3,1,-153643.2246712685,-145489.87943085507,-555021.2789305713,199864.82698847668,0.2115,0.7885,-0.07450089300287265,True,0,0.0
